Name	Rol	ID	Rarity	status	texts	Position
Mrs. Monster Bride	CH	127	3		Appeared on the Fulbo Galaxy scene shortly after the tragic coach crash that killed both teams in the women’s World Fulbo Championships last year. She’s the most perfect woman to have ever lived and some say the best fulbo Player to have ever existed.	MID
Slash	CH	128	4		As a boy he dreamed of becoming a goalkeeper but with a chainsaw for a hand it was never meant to be.  As an adult he’s a mad outfield Player with a penchant for vicious tackles, especially if the opposing team are playing like zombies.	FOR
Agent Kill	CH	129	3		He’s a secret agent disguised as a skeleton. He’s also one of the best fulbo Players in the world disguised as a skeleton. His mission is to find the thief of a thousand-year-old talisman but luckily he scores beautiful goals along the way.	FOR
Diskoteko	CH	130	1		Part-time Fulbo Galaxy Player and full-time party guy! When his feet start moving he’s ready to play ball but when his head starts bopping it can only mean one thing; it’s time to leave the pitch and get on the dance floor.	MID
XD-Vision	CH	131	2		The Fulbo Player with the shortest attention span in the game. He rarely defends and he rarely attacks but if you had glasses that allowed you to see through everybody's clothes, what would you achieve?	DEF
José Cadaver	CH	132	3		Ten years ago he was great at Fulbo, good at partying and brilliant at cooking. Then after a rough game in Mexico he became dead great at Fulbo, dead good at partying and dead brilliant at cooking (PSST... he's dead!)	MID
Flamas	CH	133	3		Some say this guy is on fire at the moment. Some say he’s been on fire for a long time. Hold up! He’s actually on fire! It’s a case of spontaneous combustion and it’s been going on for far too long.	FOR
Tu Pesadilla	CH	134	3		This clown doesn't exist. He's completely in your imagination and he's here to harm you. This is what you wanted, isn't it? ISN'T IT?! You'd better start running while you still can! Go on... RUN!!!	DEF
Parolio, el Payaso	CH	135	2		Some Fulbo Players don't earn the big bucks. They rob banks, get caught, get out of jail on parole, and then their mom's get them a side gig as a clown. Ironically, if he had dressed as a clown when he robbed the bank, he may have gotten away with it.	MID
Samuel LaMerde	CH	136	2		At the beginning of his career he was plagued with constant accusations of handball and after giving away one too many penalties he decided enough was enough. Nowadays he only plays beautiful, skillful, hands-free Fulbo.	FOR
Rota Rodríguez	CH	137	2		She's a gifted athlete, a competitive Fulbo Player and not the type of person that allows a minor skiing accident to get in the way of a game. Broken leg? What broken leg? Get on with it!	DEF
Ronda Peperoni	CH	138	3		If you want a pizza her then you'd better join the queue. Everybody loves Peperoni but underneath that she's just a Margherita girl with red hot cheesy skills. Few Fulbo Players can handle a slice of her action.	MID
Rongo Sunn	CH	139	2	blocked	A simple Player that goes about the business of playing Fulbo in a straightforward way. He may not score any solo goals but he loves to help out with the group hits. He grew up in the shadow of his twin brother, Righto Sunn.	MID
Painhiding Schmupfth	CH	140	3		Fulbo Player first. Dedicated member of the Schmupfths second. Who are the Schmupfths?  They're a group of blue Fulbo Players with average abilities and when they lose a game, it's this guy's job to hide the pain!	DEF
Slappy Oscar	CH	141	3	blocked	An award winning Fulbo Player. His award is an 'Oswald' and is completely unrelated to Fulbo. Don't talk to him about that. In fact, don't talk to him about anything. He's been known to get angry about almost anything and you wouldn't like him when he's angry!	DEF
Frank Wolfstreet	CH	142	3		He's a professional Fulbo Player by day but on nights with a full moon he's a different beast. If he's not scoring goals on the pitch then you'll find him playing wildly on the New York Stock Exchange.	DEF
Black Hole Sam	CH	143	3		A truly unique Player within the Fulbo Galaxy universe.  He is incapable of absorbing pressure, he cannot return a pass, and has never emitted a single shot on goal. Despite this, the fans find themselves strongly attracted to him.	MID
Jon Fisherman Kenneth	CH	144	4		Former President of the World Fulbo League and - in his own mind - current President of the World Fulbo League. He's a man with a plan to change the game for the better but, "NOBODY WANTS TO HEAR IT AGAIN!"	MID
Bay Warrior	CH	145	2		She's just as comfortable on the pitch as in the water. If you're looking for someone to rescue your team then you could do worse than pick the perma-tanned goddess with the gleaming teeth.	FOR
Miss California	CH	146	4		Mesmerizing on the ball and completely mesmerizing off it. She's certainly not the best Fulbo Player in the league but when she's on the pitch nobody plays too well. She's attractively distracting!	MID
Babe Watcher	CH	147	2		A legend with a glittering career cut short by spending far too much time on the beach with his binoculars. He's still a Player with a lot to offer on the pitch. In fact, they absolutely love him in Germany!	DEF
Mr. Deep	CH	148	3		A Fulbo Player that learned to play the game underwater!. Since making the transition to playing 'on land' he has excelled in every aspect of the game. He's a fish out of water but this time it works!	FOR
Mr. Lost & Fulvencito	CH	149	4		A descendant from survivors of the Titanic but not those lucky enough to be rescued by passing boats. His ancestors were washed up on a cold and desolate island with only Fulbo for entertainment. 	MID
Marielle	CH	150	2		One of the youngest Players in the league. She grew up in a place where playing Fulbo was not allowed and so she spent her childhood yearning to play but had to wait until she turned eighteen before finally kicking a ball. 	MID
Finn	CH	151	3	blocked	The elf formerly known as Santa's little helper. Fired after waking children with his rattle during the Christmas present delivery of 2021. Now terrorizing the Fulbo world's defences with that very same rattle.	
Unprofessional Santa	CH	152	3	blocked	Santa Claus is beloved by children all around the world and works tirelessly to reward their good behavior with happiness and gifts each Christmas. This guy is not that Santa. This guy found the bottle long before he found a purpose.	
Jennsen	CH	153	3	blocked	The elf-ess with the mostest. Wonderful presents appear with one flick of her wand and Fulbo teams disappear with one kick of her foot. Afterall, the true joy of Christmas lies in the giving of gifts and the scoring of goals.	
Gloo Gloo	CH	154	3	blocked	Behold! The miracle dolphin that traded an ocean for a Fulbo pitch, gave up graceful swimming for a land based struggle, and swapped breathing for not breathing (well, not breathing quite as often anyhow).	
Nave	CH	155	3			
Fuco	CH	156	3			
Cadorni	CH	157	3			
El Javo	CH	158	3			
El Jefe	CH	159	3			
Esperpent	CH	160	3			
